"","County.Code","County.Name","YEAR","CRASH","HR"
"1",1,"ALAMEDA",2006,90,13
"2",1,"ALAMEDA",2007,98,10
"3",1,"ALAMEDA",2008,81,13
"4",1,"ALAMEDA",2009,62,5
"5",1,"ALAMEDA",2010,61,6
"6",1,"ALAMEDA",2011,57,7
"7",1,"ALAMEDA",2012,67,10
"8",1,"ALAMEDA",2013,83,9
"9",1,"ALAMEDA",2014,81,12
"10",1,"ALAMEDA",2015,84,15
"11",1,"ALAMEDA",2016,70,7
"12",3,"ALPINE",2006,3,0
"13",3,"ALPINE",2007,2,0
"14",3,"ALPINE",2008,2,0
"15",3,"ALPINE",2009,1,0
"16",3,"ALPINE",2010,1,0
"17",3,"ALPINE",2011,2,0
"18",3,"ALPINE",2012,1,0
"19",3,"ALPINE",2013,1,0
"20",3,"ALPINE",2014,1,0
"21",3,"ALPINE",2015,1,0
"22",3,"ALPINE",2016,5,0
"23",5,"AMADOR",2006,12,0
"24",5,"AMADOR",2007,13,0
"25",5,"AMADOR",2008,6,0
"26",5,"AMADOR",2009,13,0
"27",5,"AMADOR",2010,6,0
"28",5,"AMADOR",2011,11,0
"29",5,"AMADOR",2012,6,0
"30",5,"AMADOR",2013,5,0
"31",5,"AMADOR",2014,7,0
"32",5,"AMADOR",2015,7,0
"33",5,"AMADOR",2016,11,0
"34",7,"BUTTE",2006,30,2
"35",7,"BUTTE",2007,36,3
"36",7,"BUTTE",2008,30,2
"37",7,"BUTTE",2009,22,0
"38",7,"BUTTE",2010,38,3
"39",7,"BUTTE",2011,19,1
"40",7,"BUTTE",2012,22,1
"41",7,"BUTTE",2013,19,2
"42",7,"BUTTE",2014,21,0
"43",7,"BUTTE",2015,31,2
"44",7,"BUTTE",2016,33,5
"45",9,"CALAVERAS",2006,7,0
"46",9,"CALAVERAS",2007,13,0
"47",9,"CALAVERAS",2008,10,0
"48",9,"CALAVERAS",2009,9,0
"49",9,"CALAVERAS",2010,11,0
"50",9,"CALAVERAS",2011,8,0
"51",9,"CALAVERAS",2012,9,0
"52",9,"CALAVERAS",2013,7,0
"53",9,"CALAVERAS",2014,8,0
"54",9,"CALAVERAS",2015,11,0
"55",9,"CALAVERAS",2016,8,0
"56",11,"COLUSA",2006,6,0
"57",11,"COLUSA",2007,6,1
"58",11,"COLUSA",2008,6,0
"59",11,"COLUSA",2009,10,0
"60",11,"COLUSA",2010,6,0
"61",11,"COLUSA",2011,7,1
"62",11,"COLUSA",2012,5,0
"63",11,"COLUSA",2013,8,0
"64",11,"COLUSA",2014,4,0
"65",11,"COLUSA",2015,5,0
"66",11,"COLUSA",2016,4,0
"67",13,"CONTRA COSTA",2006,87,8
"68",13,"CONTRA COSTA",2007,66,5
"69",13,"CONTRA COSTA",2008,60,8
"70",13,"CONTRA COSTA",2009,67,3
"71",13,"CONTRA COSTA",2010,38,5
"72",13,"CONTRA COSTA",2011,46,6
"73",13,"CONTRA COSTA",2012,56,3
"74",13,"CONTRA COSTA",2013,49,2
"75",13,"CONTRA COSTA",2014,43,4
"76",13,"CONTRA COSTA",2015,72,7
"77",13,"CONTRA COSTA",2016,77,6
"78",15,"DEL NORTE",2006,10,0
"79",15,"DEL NORTE",2007,9,3
"80",15,"DEL NORTE",2008,6,0
"81",15,"DEL NORTE",2009,6,0
"82",15,"DEL NORTE",2010,6,0
"83",15,"DEL NORTE",2011,10,0
"84",15,"DEL NORTE",2012,7,2
"85",15,"DEL NORTE",2013,10,1
"86",15,"DEL NORTE",2014,8,1
"87",15,"DEL NORTE",2015,14,0
"88",15,"DEL NORTE",2016,8,0
"89",17,"EL DORADO",2006,38,3
"90",17,"EL DORADO",2007,30,0
"91",17,"EL DORADO",2008,23,1
"92",17,"EL DORADO",2009,20,0
"93",17,"EL DORADO",2010,15,0
"94",17,"EL DORADO",2011,17,0
"95",17,"EL DORADO",2012,19,0
"96",17,"EL DORADO",2013,24,1
"97",17,"EL DORADO",2014,19,0
"98",17,"EL DORADO",2015,23,0
"99",17,"EL DORADO",2016,19,0
"100",19,"FRESNO",2006,134,10
"101",19,"FRESNO",2007,141,9
"102",19,"FRESNO",2008,128,10
"103",19,"FRESNO",2009,102,12
"104",19,"FRESNO",2010,95,9
"105",19,"FRESNO",2011,105,12
"106",19,"FRESNO",2012,106,14
"107",19,"FRESNO",2013,101,13
"108",19,"FRESNO",2014,100,7
"109",19,"FRESNO",2015,89,5
"110",19,"FRESNO",2016,95,9
"111",21,"GLENN",2006,7,0
"112",21,"GLENN",2007,10,0
"113",21,"GLENN",2008,9,0
"114",21,"GLENN",2009,7,0
"115",21,"GLENN",2010,7,1
"116",21,"GLENN",2011,3,0
"117",21,"GLENN",2012,4,0
"118",21,"GLENN",2013,4,0
"119",21,"GLENN",2014,3,0
"120",21,"GLENN",2015,6,0
"121",21,"GLENN",2016,8,0
"122",23,"HUMBOLDT",2006,20,0
"123",23,"HUMBOLDT",2007,24,0
"124",23,"HUMBOLDT",2008,24,3
"125",23,"HUMBOLDT",2009,21,3
"126",23,"HUMBOLDT",2010,15,0
"127",23,"HUMBOLDT",2011,27,2
"128",23,"HUMBOLDT",2012,28,3
"129",23,"HUMBOLDT",2013,28,2
"130",23,"HUMBOLDT",2014,28,3
"131",23,"HUMBOLDT",2015,25,2
"132",23,"HUMBOLDT",2016,20,2
"133",25,"IMPERIAL",2006,36,1
"134",25,"IMPERIAL",2007,35,1
"135",25,"IMPERIAL",2008,36,3
"136",25,"IMPERIAL",2009,30,2
"137",25,"IMPERIAL",2010,26,1
"138",25,"IMPERIAL",2011,12,2
"139",25,"IMPERIAL",2012,29,1
"140",25,"IMPERIAL",2013,26,0
"141",25,"IMPERIAL",2014,35,1
"142",25,"IMPERIAL",2015,26,1
"143",25,"IMPERIAL",2016,27,1
"144",27,"INYO",2006,17,0
"145",27,"INYO",2007,9,0
"146",27,"INYO",2008,9,0
"147",27,"INYO",2009,5,0
"148",27,"INYO",2010,6,0
"149",27,"INYO",2011,9,0
"150",27,"INYO",2012,7,0
"151",27,"INYO",2013,3,0
"152",27,"INYO",2014,0,0
"153",27,"INYO",2015,5,0
"154",27,"INYO",2016,7,0
"155",29,"KERN",2006,172,11
"156",29,"KERN",2007,142,13
"157",29,"KERN",2008,104,12
"158",29,"KERN",2009,129,11
"159",29,"KERN",2010,95,7
"160",29,"KERN",2011,94,9
"161",29,"KERN",2012,114,8
"162",29,"KERN",2013,123,11
"163",29,"KERN",2014,104,11
"164",29,"KERN",2015,123,14
"165",29,"KERN",2016,131,9
"166",31,"KINGS",2006,35,0
"167",31,"KINGS",2007,27,3
"168",31,"KINGS",2008,25,1
"169",31,"KINGS",2009,27,0
"170",31,"KINGS",2010,18,2
"171",31,"KINGS",2011,11,0
"172",31,"KINGS",2012,21,3
"173",31,"KINGS",2013,14,1
"174",31,"KINGS",2014,11,1
"175",31,"KINGS",2015,28,1
"176",31,"KINGS",2016,26,1
"177",33,"LAKE",2006,16,0
"178",33,"LAKE",2007,14,1
"179",33,"LAKE",2008,15,0
"180",33,"LAKE",2009,11,0
"181",33,"LAKE",2010,15,2
"182",33,"LAKE",2011,14,0
"183",33,"LAKE",2012,13,1
"184",33,"LAKE",2013,19,0
"185",33,"LAKE",2014,6,0
"186",33,"LAKE",2015,16,1
"187",33,"LAKE",2016,14,0
"188",35,"LASSEN",2006,9,0
"189",35,"LASSEN",2007,6,0
"190",35,"LASSEN",2008,8,0
"191",35,"LASSEN",2009,3,0
"192",35,"LASSEN",2010,9,0
"193",35,"LASSEN",2011,7,0
"194",35,"LASSEN",2012,8,0
"195",35,"LASSEN",2013,7,0
"196",35,"LASSEN",2014,5,0
"197",35,"LASSEN",2015,7,0
"198",35,"LASSEN",2016,7,0
"199",37,"LOS ANGELES",2006,748,96
"200",37,"LOS ANGELES",2007,718,89
"201",37,"LOS ANGELES",2008,664,90
"202",37,"LOS ANGELES",2009,556,60
"203",37,"LOS ANGELES",2010,526,68
"204",37,"LOS ANGELES",2011,515,76
"205",37,"LOS ANGELES",2012,575,62
"206",37,"LOS ANGELES",2013,579,91
"207",37,"LOS ANGELES",2014,603,76
"208",37,"LOS ANGELES",2015,609,97
"209",37,"LOS ANGELES",2016,744,114
"210",39,"MADERA",2006,38,3
"211",39,"MADERA",2007,41,1
"212",39,"MADERA",2008,33,3
"213",39,"MADERA",2009,27,1
"214",39,"MADERA",2010,22,3
"215",39,"MADERA",2011,23,1
"216",39,"MADERA",2012,24,1
"217",39,"MADERA",2013,19,0
"218",39,"MADERA",2014,29,2
"219",39,"MADERA",2015,27,1
"220",39,"MADERA",2016,34,0
"221",41,"MARIN",2006,8,0
"222",41,"MARIN",2007,11,1
"223",41,"MARIN",2008,7,2
"224",41,"MARIN",2009,10,1
"225",41,"MARIN",2010,2,1
