"","State.Code","State.Name","YEAR","acc_total","hr_total","income","pop","unemp"
"1",1,"ALABAMA",2006,1073,25,38811,4628981,4
"2",1,"ALABAMA",2007,1010,29,40596,4672840,4
"3",1,"ALABAMA",2008,891,24,42586,4718206,5.7
"4",1,"ALABAMA",2009,774,21,40547,4757938,11
"5",1,"ALABAMA",2010,792,15,40538,4785579,10.5
"6",1,"ALABAMA",2011,811,25,41427,4798649,9.6
"7",1,"ALABAMA",2012,809,23,41610,4813946,8
"8",1,"ALABAMA",2013,767,16,42882,4827660,7.2
"9",1,"ALABAMA",2014,747,24,42917,4840037,6.8
"10",1,"ALABAMA",2015,784,39,44833,4850858,6.1
"11",1,"ALABAMA",2016,937,17,46309,4860545,5.9
"12",2,"ALASKA",2006,71,4,58572,675302,6.6
"13",2,"ALASKA",2007,75,5,62854,680300,6.3
"14",2,"ALASKA",2008,55,2,67332,687455,6.7
"15",2,"ALASKA",2009,59,1,66712,698895,7.7
"16",2,"ALASKA",2010,52,1,63456,714015,7.9
"17",2,"ALASKA",2011,63,3,65699,722259,7.6
"18",2,"ALASKA",2012,54,0,66503,730825,7.1
"19",2,"ALASKA",2013,49,1,70058,736760,7
"20",2,"ALASKA",2014,68,5,70898,736759,6.9
"21",2,"ALASKA",2015,60,3,73391,737979,6.5
"22",2,"ALASKA",2016,78,4,76144,741522,6.9
"23",4,"ARIZONA",2006,1118,83,47315,6029141,4.2
"24",4,"ARIZONA",2007,952,72,49923,6167681,3.9
"25",4,"ARIZONA",2008,843,71,51009,6280362,6.2
"26",4,"ARIZONA",2009,709,46,48711,6343154,9.9
"27",4,"ARIZONA",2010,695,44,46787,6407002,10.4
"28",4,"ARIZONA",2011,755,59,46710,6465488,9.5
"29",4,"ARIZONA",2012,738,45,47796,6544211,8.3
"30",4,"ARIZONA",2013,782,47,48504,6616124,7.7
"31",4,"ARIZONA",2014,708,50,50036,6706435,6.8
"32",4,"ARIZONA",2015,811,62,51473,6802262,6.1
"33",4,"ARIZONA",2016,865,55,53481,6908642,5.4
"34",5,"ARKANSAS",2006,596,9,36627,2821761,5.2
"35",5,"ARKANSAS",2007,583,17,38239,2848650,5.3
"36",5,"ARKANSAS",2008,552,15,38820,2874554,5.5
"37",5,"ARKANSAS",2009,532,9,37888,2896843,7.8
"38",5,"ARKANSAS",2010,517,13,38413,2921737,8.2
"39",5,"ARKANSAS",2011,509,20,38889,2938640,8.3
"40",5,"ARKANSAS",2012,504,14,40151,2949208,7.6
"41",5,"ARKANSAS",2013,460,8,40605,2956780,7.2
"42",5,"ARKANSAS",2014,436,9,41335,2964800,6
"43",5,"ARKANSAS",2015,491,14,42046,2975626,5
"44",5,"ARKANSAS",2016,488,15,44406,2988231,3.9
"45",6,"CALIFORNIA",2006,3839,328,56646,36021202,4.9
"46",6,"CALIFORNIA",2007,3591,275,59928,36250311,5.4
"47",6,"CALIFORNIA",2008,3145,271,61017,36604337,7.3
"48",6,"CALIFORNIA",2009,2825,206,58925,36961229,11.2
"49",6,"CALIFORNIA",2010,2504,234,57664,37327690,12.2
"50",6,"CALIFORNIA",2011,2617,238,57275,37672654,11.7
