STATE.CODE,NAME,INC2006,INC2007,INC2008,INC2009,INC2010,INC2011,INC2012,INC2013,INC2014,INC2015,INC2016,UNEMP2006,UNEMP2007,UNEMP2008,UNEMP2009,UNEMP2010,UNEMP2011,UNEMP2012,UNEMP2013,UNEMP2014,UNEMP2015,UNEMP2016,POP2006,POP2007,POP2008,POP2009,POP2010,POP2011,POP2012,POP2013,POP2014,POP2015,POP2016
1,Alabama,38811,40596,42586,40547,40538,41427,41610,42882,42917,44833,46309,4,4,5.7,11,10.5,9.6,8,7.2,6.8,6.1,5.9,4628981,4672840,4718206,4757938,4785579,4798649,4813946,4827660,4840037,4850858,4860545
2,Alaska,58572,62854,67332,66712,63456,65699,66503,70058,70898,73391,76144,6.6,6.3,6.7,7.7,7.9,7.6,7.1,7,6.9,6.5,6.9,675302,680300,687455,698895,714015,722259,730825,736760,736759,737979,741522
4,Arizona,47315,49923,51009,48711,46787,46710,47796,48504,50036,51473,53481,4.2,3.9,6.2,9.9,10.4,9.5,8.3,7.7,6.8,6.1,5.4,6029141,6167681,6280362,6343154,6407002,6465488,6544211,6616124,6706435,6802262,6908642
5,Arkansas,36627,38239,38820,37888,38413,38889,40151,40605,41335,42046,44406,5.2,5.3,5.5,7.8,8.2,8.3,7.6,7.2,6,5,3.9,2821761,2848650,2874554,2896843,2921737,2938640,2949208,2956780,2964800,2975626,2988231
6,California,56646,59928,61017,58925,57664,57275,58322,60185,61927,64483,67715,4.9,5.4,7.3,11.2,12.2,11.7,10.4,8.9,7.5,6.2,5.5,36021202,36250311,36604337,36961229,37327690,37672654,38019006,38347383,38701278,39032444,39296476
8,Colorado,52265,55517,57184,55735,54411,55530,56880,58942,61324,63945,65718,4.3,3.7,4.8,7.3,8.7,8.4,7.9,6.9,5,3.9,3.3,4720423,4803868,4889730,4972195,5048029,5116411,5186330,5262556,5342311,5440445,5530105
9,Connecticut,63352,65969,68294,66906,64321,65822,67275,67262,70007,71333,73380,4.3,4.5,5.7,7.9,9.1,8.8,8.3,7.8,6.6,5.7,5.1,3517460,3527270,3545579,3561807,3580171,3591927,3597705,3602470,3600188,3593862,3587685
10,Delaware,53714,55988,58380,56985,56172,58159,58326,58244,59853,61327,62112,3.6,3.4,4.9,8.3,8.4,7.5,7.2,6.7,5.7,4.9,4.5,859268,871749,883874,891730,899712,907884,916868,925114,934805,944107,952698
11,District of Columbia,51746,54812,58553,58906,60729,62087,65231,66326,69992,73115,74093,5.8,5.5,6.5,9.3,9.4,10.2,9,8.5,7.8,6.9,6.1,570681,574404,580236,592228,605040,620336,635630,650114,660797,672736,684336
12,Florida,45494,47804,47802,44755,44390,44250,45006,46021,47439,49416,50857,3.2,4,6.3,10.4,11.1,10,8.5,7.2,6.3,5.5,4.8,18166990,18367842,18527305,18652644,18846461,19097369,19341327,19584927,19897747,20268567,20656589
13,Georgia,46808,49080,50834,47469,46252,45886,47125,47765,49240,51225,53468,4.7,4.5,6.2,9.9,10.5,10.2,9.2,8.2,7.1,6,5.4,9155813,9349988,9504843,9620846,9712696,9810595,9911171,9981773,10083850,10199533,10313620
15,Hawaii,60554,62613,66701,63741,62774,62071,66086,67798,69549,73097,74659,2.6,2.8,4.3,7.2,6.9,6.8,6,4.9,4.4,3.6,2.9,1309731,1315675,1332213,1346717,1363817,1378323,1392772,1408038,1417710,1426320,1428683
16,Idaho,42846,46136,47561,44644,43259,43345,45296,46621,47572,48311,51647,3.5,3.1,5.1,8.8,9,8.3,7.2,6.1,4.9,4.2,3.8,1468669,1505105,1534320,1554439,1570912,1583180,1594673,1610187,1630391,1649324,1680026
17,Illinois,52012,54141,56230,53974,52967,53271,55126,56212,57458,59590,60977,4.5,5,6.3,10.2,10.4,9.7,9,9,7.1,6,5.8,12643955,12695866,12747038,12796778,12841196,12862298,12878494,12890403,12882438,12862051,12835726
18,Indiana,45414,47422,48010,45427,44616,46410,46954,47508,49384,50510,52289,5,4.6,5.9,10.3,10.4,9.1,8.3,7.7,6,4.8,4.4,6332669,6379599,6424806,6459325,6490029,6515358,6535665,6567484,6593182,6610596,6634007
19,Iowa,44560,47324,49007,48065,48031,49545,50997,52286,53816,54843,56354,3.7,3.7,4.2,6.4,6,5.5,5,4.7,4.2,3.8,3.6,2982644,2999212,3016734,3032870,3050223,3063690,3074386,3089876,3105563,3118473,3130869
20,Kansas,45369,47341,50174,47709,47888,48844,50140,50892,52392,53802,54828,4.4,4.2,4.6,6.9,7.1,6.5,5.7,5.3,4.5,4.2,4,2762931,2783785,2808076,2832704,2858403,2868756,2885316,2892900,2899553,2905789,2907731
21,Kentucky,39318,40299,41489,40061,40089,41141,41717,43307,42914,45178,46610,5.7,5.4,6.4,10.3,10.2,9.4,8.2,8,6.5,5.3,5.1,4219239,4256672,4289878,4317074,4347948,4368505,4383673,4399121,4410415,4422057,4436113
22,Louisiana,39122,40866,43635,42460,42510,41804,42998,44234,44680,45829,45374,4.5,4.3,4.9,6.8,8,7.8,7.1,6.7,6.4,6.3,6,4302665,4375581,4435586,4491648,4544871,4574388,4602681,4626795,4648797,4671211,4686157
23,Maine,43472,45832,46419,45708,45882,46160,46856,47095,49381,51419,52926,4.6,4.7,5.5,8.1,8.1,7.9,7.5,6.6,5.6,4.4,3.8,1323619,1327040,1330509,1329590,1327568,1327968,1328101,1327975,1328903,1327787,1330232
24,Maryland,65041,67989,70482,69193,68933,70075,71169,72482,73851,75784,78787,3.9,3.5,4.2,7,7.7,7.2,7,6.6,5.8,5.1,4.4,5627367,5653408,5684965,5730388,5788099,5843115,5891680,5932654,5970245,6000561,6024752
25,Massachusetts,59930,62383,65304,64057,62133,63126,65378,66794,69200,70659,75207,4.9,4.6,5.5,8.1,8.3,7.3,6.7,6.7,5.7,4.8,3.9,6410084,6431559,6468967,6517613,6564943,6612178,6659627,6711138,6757925,6794002,6823721
26,Michigan,47187,47931,48606,45254,45354,45931,46793,48200,49755,51063,52436,7,7,8,13.7,12.6,10.4,9.1,8.8,7.2,5.4,5,10036081,10001284,9946889,9901591,9876731,9876199,9886610,9899219,9914675,9918170,9933445
27,Minnesota,54022,55664,57318,55621,55422,56944,58828,60664,61473,63459,65583,4,4.6,5.4,7.8,7.4,6.5,5.6,5,4.2,3.7,3.9,5163555,5207203,5247018,5281203,5310711,5345967,5377695,5416074,5452649,5483238,5525050
28,Mississippi,34615,36424,37818,36764,36992,36963,37179,38191,39738,40630,41793,6.5,6.1,6.6,9.5,10.4,10,9,8.5,7.5,6.4,5.8,2904978,2928350,2947806,2958774,2970437,2977452,2982963,2987721,2988578,2985297,2985415
29,Missouri,42838,45012,46847,45149,44306,45231,45320,46905,48288,50200,51713,4.8,5.1,6.1,9.3,9.6,8.5,6.9,6.7,6.1,5,4.6,5842704,5887612,5923916,5961088,5995681,6010280,6023267,6041142,6058014,6072640,6091176
30,Montana,40299,43000,43948,42222,42303,44011,45030,46893,46608,49650,50265,3.5,3.6,5.1,6.8,7.3,6.9,6,5.4,4.7,4.2,4.1,952692,964706,976415,983982,990507,996866,1003522,1011921,1019931,1028317,1038656
31,Nebraska,45369,47072,49731,47470,48415,50281,50766,51502,52803,55073,56979,3.1,3,3.3,4.6,4.6,4.4,4,3.8,3.3,3,3.1,1772693,1783440,1796378,1812683,1829956,1841641,1854862,1867414,1880920,1893564,1907603
32,Nevada,52800,54996,56432,53310,50987,49099,49909,51250,51487,52544,55201,4,4.5,6.7,11.3,13.5,13,11.2,9.6,7.9,6.8,5.7,2522658,2601072,2653630,2684665,2702797,2718170,2752410,2786547,2831730,2883057,2939254
33,New Hampshire,59265,62048,63235,60734,60917,62436,63157,64064,66469,70003,70986,3.4,3.5,3.9,6.2,5.8,5.4,5.5,5.1,4.3,3.4,2.9,1308389,1312540,1315906,1316102,1316700,1318345,1320923,1322622,1328684,1330134,1335015
34,New Jersey,64549,67142,70347,68444,67719,67574,69705,70224,71968,72337,76212,4.7,4.3,5.3,9.1,9.5,9.3,9.3,8.2,6.8,5.8,5,8661679,8677885,8711090,8755602,8803708,8844694,8882095,8913735,8943010,8960001,8978416
35,New Mexico,40610,41509,43719,42830,42186,42097,42828,44026,44905,45524,46844,4.2,3.8,4.5,7.5,8.1,7.5,7.1,6.9,6.7,6.5,6.7,1962137,1990070,2010662,2036802,2064607,2077744,2083590,2085161,2083207,2082264,2085432
36,New York,51340,53448,55980,54554,54047,55147,56357,57255,58771,60805,62700,4.5,4.6,5.4,8.3,8.6,8.3,8.5,7.7,6.3,5.3,4.8,19104631,19132335,19212436,19307066,19405185,19526372,19625409,19712514,19773580,19819347,19836286
37,North Carolina,42721,44772,46574,43754,43417,44028,45195,45946,46596,47884,50595,4.7,4.7,6.1,10.6,10.9,10.3,9.3,8,6.3,5.7,5.1,8917270,9118037,9309449,9449566,9574247,9662940,9755299,9849812,9941160,10041769,10156689
38,North Dakota,41852,43936,45996,47898,48878,52135,54579,56800,60227,61674,61898,3.2,3.1,3.2,4.1,3.8,3.5,3.1,2.9,2.7,2.8,3.1,649422,652822,657569,664968,674518,684830,701380,722908,738658,754859,755548
39,Ohio,44609,46645,48011,45467,45151,45803,46873,48138,49349,51086,52357,5.4,5.6,6.4,10.3,10.3,8.8,7.4,7.5,5.8,4.9,5,11481213,11500468,11515391,11528896,11539282,11543332,11546969,11567845,11593741,11606027,11622554
40,Oklahoma,38753,41551,42836,41716,42076,43232,44336,45724,47524,48595,49204,4,4.1,3.7,6.4,6.8,5.9,5.2,5.3,4.5,4.4,4.8,3594090,3634349,3668976,3717572,3759529,3785232,3815298,3849840,3875008,3904353,3921207
41,Oregon,46228,48735,50165,48325,46536,46876,49090,50228,51088,54074,57379,5.3,5.2,6.5,11.3,10.6,9.5,8.8,7.9,6.8,5.6,4.8,3670883,3722417,3768748,3808600,3837073,3865845,3893920,3919664,3960673,4016537,4085989
42,Pennsylvania,46256,48562,50702,49501,49245,50221,51225,52005,53224,55683,56897,4.6,4.4,5.3,8,8.5,7.9,7.8,7.4,5.9,5.3,5.4,12510809,12563937,12612285,12666858,12711063,12742811,12768034,12778450,12790341,12791124,12787085
